id,de,en
AUDIO,Audio,Audio
BUTTON_LEFT,Linke Maustaste,Left mouse button
BUTTON_MIDDLE,Mittlere Maustaste,Middle mouse button
BUTTON_RIGHT,Rechte Maustaste,Right mouse button
BUTTON_WHEEL_DOWN,Mausrad nach unter,Mouse wheel down
BUTTON_WHEEL_LEFT, Mausrad nach links,Mouse wheel left
BUTTON_WHEEL_RIGHT, Mausrad nach rechts,Mouse wheel right
BUTTON_WHEEL_UP,Mausrad nach oben,Mouse wheel up
BUTTON_XBUTTON1,Extra Maustaste 1,Extra mouse button 1
BUTTON_XBUTTON2,Extra Maustaste 2,Extra mouse button 2
CLOSE,Schliessen,Close
CONTINUE_PLAYING,Weiterspielen,Continue playing
CREDITS,Credits,Credits
DELETE_SAVEGAME,Speicherstand löschen,Delete savegame
ELDEST,Dorfältester,ELDEST
EYE_OF_THE_STORM,Auge des Sturms,Eye of the Storm
FOREST,Wald,Forest
GAMEPLAY,Spielmechanik,Gameplay
GAME_COMPLETED,Glückwunsch. Du hast alle Kugeln gefunden.,Congratulations. You collected all orbs.
GENERAL,Allgemein,General
GOTO_MENU,Zum Hauptbildschirm?,Goto titlescreen?
GUARDIAN_OF_THE_FOREST,Wächterin des Waldes,Guardian of the Forest
Joypad Axis 0+,Linker Stick rechts,Left Stick Right
Joypad Axis 0-,Linker Stick links,Left Stick Left
Joypad Axis 1+,Linker Stick unten,Left Stick Down
Joypad Axis 1-,Linker Stick oben,Left Stick Up
Joypad Axis 2+,Rechter Stick rechts,Right Stick Right
Joypad Axis 2-,Rechter Stick links,Right Stick Left
Joypad Axis 3+,Rechter Stick unten,Right Stick Down
Joypad Axis 3-,Rechter Stick oben,Right Stick Up
Joypad Axis 4+,,
Joypad Axis 4-,,
Joypad Axis 5+,,
Joypad Axis 5-,,
Joypad Axis 6+,L2,L2
Joypad Axis 6-,,
Joypad Axis 7+,R2,R2
Joypad Axis 7-,,
Joypad Button 0, ,PS Cross/Xbox A/Nintendo B
Joypad Button 1, ,PS Circle/Xbox B/Nintendo A
Joypad Button 10,,Select/PS Share/Nintendo -
Joypad Button 11,,Start/PS Options/Nintendo +
Joypad Button 12,D-Pad oben,D-Pad Up
Joypad Button 13,D-Pad unten,D-Pad Down
Joypad Button 14,D-Pad links,D-Pad Left
Joypad Button 15,D-Pad rechts,D-Pad Right
Joypad Button 2, ,PS Square/Xbox X/Nintendo Y
Joypad Button 3,,PS Triangle/Xbox Y/Nintendo X
Joypad Button 4,,L/L1
Joypad Button 5,,R/R1
Joypad Button 6,,L2
Joypad Button 7,,R2
Joypad Button 8,,L3
Joypad Button 9,,R3
KEY_MAPPING,Tastenbelegung,Key Mapping
LANGUAGE,Sprache,Language
MAIN,Gesamt,Main
MOUNTAIN,Berg,Mountain
MUSIC,Musik,Music
MUSIC_PLAYER,Musikplayer,Music Player
NOT_AVAILABLE,k.A.,N/A
PARTICLES,Partikel,Particles
PLAY,Spielen,Play
QUIT,Beenden,Quit
REMAP_ACTIONS,Tastaturbelegung ändern,Remap actions
RESET,Zurücksetzen,Reset
SCREENSHAKE,Screenshake,Screenshake
SETTINGS,Einstellungen,Settings
SHOW_CREDITS,Credits anzeigen,Show credits
SKIP_TUTORIAL,Tutorial überspringen,Skip tutorial
SKY,Himmel,Sky
SOUND,Sound,Sound
VILLAGE,Dorf,Village
g_attack,Angreifen,Attack
g_interact,Interagieren,Interact
g_jump,Springen,Jump
g_left,Nach links,Left
g_right,Nach rechts,Right
ui_accept,UI Eingabe,UI Accept
ui_cancel,UI Abbrechen,UI Cancel
ui_down,UI Nach unten,UI Down
ui_end,UI End,UI End
ui_focus_next,UI nächtes Feld,UI Focus next
ui_focus_prev,UI vorher. Feld,UI Focus previous
ui_home,UI Home,UI Home
ui_left,UI Nach links,UI Left
ui_page_down,UI Page down,UI Page Up
ui_page_up,UI Page up,UI Page Up
ui_right,UI Nach rechts,UI Right
ui_select,UI Auswählen,UI Select
ui_up,UI Nach oben,UI Up
